"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1936986479794033075","Mon Jun 23 03:15:38 +0000 2025","0","Kita open untuk jasa hack ya sadap pasangan pulihin akun yg di hack (unhack) kembalikan akun sosmed ubah nilai ubah absen hack web untuk saldo tertahan Hati hati penipuan telegram #zonauang #ZonaBA #semuaorang #Giveaway #jasahackig #jasahack iran israel war america https://t.co/dfO1y27MoN","1936986479794033075","https://pbs.twimg.com/media/GuGO5GkXsAAhEpG.jpg","","in","","0","0","0","https://x.com/undefined/status/1936986479794033075","1676150032129720321",
"1936985731878232231","Mon Jun 23 03:12:40 +0000 2025","13","Russia-Ukraine war Israel - Palestine Gaza war Israel- Iran - USA war Kat Malaysia ada perang saudara y'all....Perang Madani","1936985731878232231","","","in","","0","1","5","https://x.com/undefined/status/1936985731878232231","142341722",
"1936865335568744781","Mon Jun 23 03:05:36 +0000 2025","0","@geonews_urdu Is bsdk wale ko koi bataye agar Nuclear chalana itna hi asan hota kisi mulk pe to israel iran pe na chala deta woh awein missile war lar rhe hen ? Inki india se phat gai thi aur ab yeh nuclear ke name pe dunya ko aur apni awam ko dara rhe hen Kia inke pass Nukes nhi ?","1936983954974032265","","geonews_urdu","in","","0","0","0","https://x.com/undefined/status/1936983954974032265","1756324050354216961",
"1936753587037872482","Mon Jun 23 02:47:34 +0000 2025","1","@NenkMonica @felixsiauw jangan jangan @felixsiauw ga tau kalo hamas dan hezbollah yang selama ini resisten terhadao Israel penyokong utamanya adalah Islamic Republic Iran.. alhamdulillah isreal ketrigger untuk bom Iran duluan so Iran punya legitimasi untuk direct war dgn Israel tanpa proxy...","1936979415797535130","","NenkMonica","in","","0","0","0","https://x.com/undefined/status/1936979415797535130","1599609573056581632",
"1936860137849024658","Mon Jun 23 02:22:50 +0000 2025","0","@Tec03690 Ap zra islami mumalik ko bol dein k side ho jayein rukawat na bnein phr dekhein... Iran ko Muslim countries e nhi war krne de rhi un k Abu America naraz ho jayeinge wrna..... Aur Israel kch bhi nhi hy Muslim mumalik ki ghaddari ne usy Hawa di hui hy bs","1936973189323591856","","Tec03690","in","","0","0","0","https://x.com/undefined/status/1936973189323591856","1450128573533245452",
"1936922389583134911","Mon Jun 23 02:10:13 +0000 2025","1","@ShinFa_04 @Roffi_Daijoubu @BantalKeras Bukan gitu . Kl pas gaza diserang kmrn trs iran terang2an ngasih hujan rudal ky skrg yg ada iran udh kena nuklir kali. Udh disebutin pdhl iran bantuin pasukan perlawanan di gaza. Kalo bahasa anak skrg jgn open war duluan Kepancing lah israel dan sah buat ngasih ujan rudal","1936970016974573713","","ShinFa_04","in","","0","0","0","https://x.com/undefined/status/1936970016974573713","76294661",
"1936968516332356010","Mon Jun 23 02:04:16 +0000 2025","0","Ini juga pada tolol muja2 Iran karena bales serangan ke Israel. Hei bung ini murni karena murni bertahan alias Defensive War. Lo pada bego juga kuadrat","1936968516332356010","","","in","","0","0","0","https://x.com/undefined/status/1936968516332356010","80451777",
"1936792131668152681","Mon Jun 23 01:55:48 +0000 2025","47","@K_aji_99 Iran dari dulu paling support sama gaza mulai dari hizbullah sama houthi yaman lu kira mereka bisa kayak gitu berkat siapa hah? Iran sengaja nunggu israel serang mereka soal nuklir.. Jadi mereka punya alasan untuk defense.. Declare war itu butuh pertimbangan politik","1936966386901045464","","K_aji_99","in","","0","0","0","https://x.com/undefined/status/1936966386901045464","77720490",
"1936959605785165980","Mon Jun 23 01:28:51 +0000 2025","1","Halah anying masih pagi udah liat orang stuck sm masalah kemarin. Bangun ege bangun... Lagi terancam adanya perang dunia ke 3 aja lu masih stuck war sinetron. Bloon bgt dah Cm tinggal nunggu grup rusia china korut yang lagi nonton pertandingan mamarika iran israel aja","1936959605785165980","","","in","","0","0","0","https://x.com/undefined/status/1936959605785165980","978207278145847297",
"1936955101706584131","Mon Jun 23 01:10:57 +0000 2025","1","Iran - Israel udah diamnang nuclear war X indo masih gender war. Awalnya gmn sik?","1936955101706584131","","","in","","0","3","0","https://x.com/undefined/status/1936955101706584131","1710685165922738176",
